
Perirhinal Layer, 24-D input stimuli
Experiment:, list6, 
Stim Condition:, 2, 
 Stimulus Set 1:
Sample 1, [ 0.950 0.050, 0.333 0.050, 0.050 0.667, 0.667 0.950 ],Novel 1, [ 0.050 0.333, 0.667 0.333, 0.050 0.050, 0.333 0.333 ] Sample 2, [ 0.950 0.050, 0.333 0.333, 0.333 0.950, 0.333 0.050 ],Novel 2, [ 0.950 0.667, 0.950 0.333, 0.050 0.950, 0.333 0.667 ] Sample 3, [ 0.950 0.050, 0.667 0.950, 0.050 0.667, 0.050 0.050 ],Novel 3, [ 0.050 0.950, 0.333 0.667, 0.667 0.950, 0.667 0.667 ] Sample 4, [ 0.950 0.950, 0.050 0.667, 0.950 0.050, 0.050 0.050 ],Novel 4, [ 0.667 0.333, 0.950 0.667, 0.667 0.950, 0.333 0.050 ] Sample 5, [ 0.333 0.950, 0.050 0.050, 0.333 0.667, 0.050 0.667 ],Novel 5, [ 0.333 0.333, 0.667 0.950, 0.667 0.333, 0.950 0.950 ] Sample 6, [ 0.950 0.050, 0.667 0.333, 0.333 0.333, 0.667 0.950 ],Novel 6, [ 0.050 0.050, 0.050 0.667, 0.050 0.333, 0.333 0.667 ] 

Simulation, Stimulus Pair, Stimulus, Peak Act, Total Act, Selectivity, Dscore, Win Co-ords
 1, 1, Sample, 42.939153, 68630.824152, 0.000626, 0.439232, [166 125]
 1, 1, Novel, 19.429412, 79702.746579, 0.000244,, [159 93]
 1, 2, Sample, 82.893063, 74012.624549, 0.001120, 0.645367, [69 11]
 1, 2, Novel, 17.809675, 73778.067149, 0.000241,, [114 74]
 1, 3, Sample, 82.893063, 64277.072348, 0.001290, 0.683266, [151 53]
 1, 3, Novel, 19.328465, 79651.502356, 0.000243,, [166 97]
 1, 4, Sample, 82.893063, 60186.758682, 0.001377, 0.695169, [77 102]
 1, 4, Novel, 19.750168, 79745.753723, 0.000248,, [130 117]
 1, 5, Sample, 82.893063, 73976.490465, 0.001121, 0.616040, [87 44]
 1, 5, Novel, 21.171293, 79522.243238, 0.000266,, [13 114]
 1, 6, Sample, 82.893063, 79714.268645, 0.001040, 0.633709, [167 121]
 1, 6, Novel, 17.195781, 73754.410266, 0.000233,, [99 116]
 2, 1, Sample, 50.804473, 68878.083333, 0.000738, 0.500128, [149 84]
 2, 1, Novel, 19.553627, 79556.596521, 0.000246,, [47 100]
 2, 2, Sample, 82.893063, 74151.851991, 0.001118, 0.633455, [115 113]
 2, 2, Novel, 18.520432, 73830.378799, 0.000251,, [97 32]
 2, 3, Sample, 82.893063, 64295.205887, 0.001289, 0.680744, [189 86]
 2, 3, Novel, 19.492553, 79596.150456, 0.000245,, [176 131]
 2, 4, Sample, 82.893063, 60157.395880, 0.001378, 0.715900, [87 191]
 2, 4, Novel, 18.182967, 79699.785059, 0.000228,, [146 122]
 2, 5, Sample, 82.893063, 73961.683884, 0.001121, 0.645765, [28 60]
 2, 5, Novel, 19.188356, 79543.108780, 0.000241,, [51 122]
 2, 6, Sample, 82.893063, 79919.215934, 0.001037, 0.608619, [150 89]
 2, 6, Novel, 18.619445, 73782.554912, 0.000252,, [113 8]
 3, 1, Sample, 42.909823, 68702.380407, 0.000625, 0.453455, [78 170]
 3, 1, Novel, 18.701431, 79628.039693, 0.000235,, [16 180]
 3, 2, Sample, 82.893063, 74013.985736, 0.001120, 0.650494, [76 84]
 3, 2, Novel, 17.511259, 73836.805178, 0.000237,, [4 46]
 3, 3, Sample, 82.893063, 64301.113930, 0.001289, 0.695697, [91 67]
 3, 3, Novel, 18.400409, 79537.011765, 0.000231,, [152 76]
 3, 4, Sample, 82.893063, 60057.328658, 0.001380, 0.707719, [129 71]
 3, 4, Novel, 18.852370, 79804.855108, 0.000236,, [154 35]
 3, 5, Sample, 82.893063, 73751.970581, 0.001124, 0.619444, [171 152]
 3, 5, Novel, 21.030723, 79626.359281, 0.000264,, [2 107]
 3, 6, Sample, 82.893063, 79863.613927, 0.001038, 0.593330, [76 173]
 3, 6, Novel, 19.520720, 73686.958880, 0.000265,, [42 164]
 4, 1, Sample, 42.176351, 68724.445292, 0.000614, 0.448963, [200 30]
 4, 1, Novel, 18.596096, 79678.396250, 0.000233,, [20 72]
 4, 2, Sample, 82.893063, 74071.200739, 0.001119, 0.641740, [67 53]
 4, 2, Novel, 18.016134, 73773.251266, 0.000244,, [45 138]
 4, 3, Sample, 82.893063, 64343.678675, 0.001288, 0.673800, [185 174]
 4, 3, Novel, 19.958446, 79493.899796, 0.000251,, [15 106]
 4, 4, Sample, 82.893063, 60099.124655, 0.001379, 0.656616, [199 46]
