
Group Lesion
Experiment:, list6, 
Stim Pair 1:,Sample: , [ 0.950 0.667, 0.667 0.950, 0.050 0.667, 0.050 0.050 ],Novel: , [ 0.950 0.050, 0.050 0.950, 0.333 0.050, 0.667 0.667 ] Stim Pair 2:,Sample: , [ 0.333 0.050, 0.333 0.950, 0.050 0.333, 0.950 0.950 ],Novel: , [ 0.667 0.333, 0.333 0.667, 0.667 0.050, 0.333 0.333 ] Stim Pair 3:,Sample: , [ 0.333 0.667, 0.667 0.950, 0.667 0.333, 0.950 0.050 ],Novel: , [ 0.667 0.050, 0.667 0.667, 0.050 0.950, 0.333 0.950 ] Stim Pair 4:,Sample: , [ 0.950 0.050, 0.050 0.050, 0.667 0.333, 0.050 0.333 ],Novel: , [ 0.333 0.050, 0.667 0.667, 0.333 0.950, 0.667 0.333 ] Stim Pair 5:,Sample: , [ 0.333 0.667, 0.333 0.050, 0.950 0.333, 0.050 0.050 ],Novel: , [ 0.950 0.050, 0.950 0.950, 0.667 0.950, 0.050 0.333 ] Stim Pair 6:,Sample: , [ 0.333 0.950, 0.667 0.050, 0.050 0.950, 0.667 0.667 ],Novel: , [ 0.333 0.333, 0.950 0.950, 0.667 0.950, 0.333 0.667 ] 

Stim Pair, Stimulus, Peak Act seg1, Peak Act seg2, Peak Act seg3, Peak Act seg4, Mean Peak Act, Total Act seg1, Total Act seg2, Total Act seg3, Total Act seg4, Mean Total Act, Selectivity, Win Co-ords 1, Win Co-ords 2, Win Co-ords 3, Win Co-ords 4
 1, Sample, 77.986969, 82.893063, 79.031291, 82.893063, 80.701096, 76757.265370, 77355.076040, 77581.995744, 58681.844212, 72594.045341, 0.001130, 0.273138, [126 191], [141 147], [123 70], [99 148]
 1, Novel, 76.531936, 16.980588, 19.766196, 80.862941, 48.535415, 58299.268607, 58539.084167, 77408.240389, 112035.419749, 76570.503228, 0.000645, , [31 83], [61 19], [97 149], [164 25]
 2, Sample, 78.154199, 79.006274, 78.317280, 77.334929, 78.203171, 76444.030385, 77323.649670, 77568.951011, 58721.210458, 72514.460381, 0.001093, 0.613516, [197 38], [133 66], [117 191], [111 62]
 2, Novel, 28.660349, 26.391289, 22.629520, 28.714146, 26.598826, 109779.099795, 111636.139476, 77303.110902, 111853.729195, 102643.019842, 0.000262, , [150 23], [51 115], [15 154], [58 66]
 3, Sample, 82.893063, 82.893063, 82.893063, 76.742357, 81.355387, 109484.061902, 77355.076040, 111924.241302, 58757.623838, 89380.250770, 0.000969, 0.303276, [177 132], [141 147], [37 198], [137 184]
 3, Novel, 20.948383, 30.971905, 75.438045, 18.389884, 36.437054, 76563.446563, 111692.834601, 58798.302957, 77309.112893, 81090.924253, 0.000518, , [155 10], [130 154], [54 195], [15 112]
 4, Sample, 76.531936, 75.530147, 82.893063, 77.000344, 77.988872, 58299.268607, 58687.230703, 111924.241302, 77364.048302, 76568.697229, 0.001084, 0.408483, [31 83], [114 188], [37 198], [55 71]
 4, Novel, 78.154199, 30.971905, 20.292720, 29.028755, 39.611895, 76444.030385, 111692.834601, 77422.598411, 112052.670043, 94403.033360, 0.000455, , [197 38], [130 154], [197 23], [87 86]
 5, Sample, 82.893063, 78.925051, 77.159361, 82.893063, 80.467635, 109484.061902, 77453.878913, 77284.504699, 58681.844212, 80726.072432, 0.001047, 0.186230, [177 132], [196 34], [140 196], [99 148]
 5, Novel, 76.531936, 15.968436, 22.523056, 77.000344, 48.005943, 58299.268607, 58542.060895, 77242.999991, 77364.048302, 67862.094449, 0.000718, , [31 83], [34 159], [168 141], [55 71]
 6, Sample, 77.810010, 77.334071, 75.438045, 80.862941, 77.861267, 76473.396391, 77399.052590, 58798.302957, 112035.419749, 81176.542921, 0.001005, 0.568325, [61 22], [144 117], [54 195], [164 25]
 6, Novel, 29.118377, 15.968436, 22.523056, 30.914653, 24.631130, 109409.035366, 58542.060895, 77242.999991, 111857.467216, 89262.890867, 0.000277, , [104 2], [34 159], [168 141], [149 145]
