
Perirhinal Layer, 24-D input stimuli
Experiment:, list1, 
Stim Condition:, 3, 
 Stimulus Set 1:
Sample 1, [ 0.667 0.050, 0.950 0.050, 0.950 0.667, 0.333 0.333 ],Novel 1, [ 0.333 0.667, 0.950 0.950, 0.050 0.950, 0.667 0.333 ] 

Simulation, Stimulus Pair, Stimulus, Peak Act, Total Act, Selectivity, Dscore, Win Co-ords
 1, 1, Sample, 82.893063, 73946.315936, 0.001121, 0.659716, [38 112]
 1, 1, Novel, 16.962559, 73804.253404, 0.000230,, [184 186]
 2, 1, Sample, 82.893063, 73985.618255, 0.001120, 0.654870, [58 81]
 2, 1, Novel, 17.224935, 73717.054851, 0.000234,, [146 5]
 3, 1, Sample, 82.893063, 74012.780398, 0.001120, 0.643487, [144 163]
 3, 1, Novel, 17.945133, 73862.753383, 0.000243,, [44 183]
 4, 1, Sample, 82.893063, 73974.586563, 0.001121, 0.651437, [148 140]
 4, 1, Novel, 17.447824, 73771.056968, 0.000237,, [36 142]
 5, 1, Sample, 82.893063, 73926.008255, 0.001121, 0.642080, [67 120]
 5, 1, Novel, 18.060930, 73897.130942, 0.000244,, [74 29]
 6, 1, Sample, 82.893063, 73963.484702, 0.001121, 0.634420, [69 152]
 6, 1, Novel, 18.499232, 73796.144722, 0.000251,, [57 193]
