
Perirhinal Layer, 24-D input stimuli
Experiment:, list1, 
Stim Condition:, 4, 
 Stimulus Set 1:
Sample 1, [ 0.950 0.667, 0.050 0.050, 0.050 0.950, 0.333 0.950 ],Novel 1, [ 0.950 0.050, 0.333 0.950, 0.333 0.050, 0.050 0.667 ] 

Simulation, Stimulus Pair, Stimulus, Peak Act, Total Act, Selectivity, Dscore, Win Co-ords
 1, 1, Sample, 82.893063, 64203.457772, 0.001291, 0.700613, [28 127]
 1, 1, Novel, 15.591777, 68597.485856, 0.000227,, [6 4]
 2, 1, Sample, 82.893063, 64360.561181, 0.001288, 0.671059, [169 37]
 2, 1, Novel, 17.410068, 68671.461935, 0.000254,, [106 14]
 3, 1, Sample, 82.893063, 64143.781246, 0.001292, 0.674957, [91 187]
 3, 1, Novel, 17.200440, 68586.634937, 0.000251,, [191 4]
 4, 1, Sample, 82.893063, 64186.415032, 0.001291, 0.697614, [35 59]
 4, 1, Novel, 15.795255, 68664.091220, 0.000230,, [163 67]
 5, 1, Sample, 82.893063, 64293.321360, 0.001289, 0.683926, [11 69]
 5, 1, Novel, 16.602551, 68605.162131, 0.000242,, [119 58]
 6, 1, Sample, 82.893063, 64238.070833, 0.001290, 0.689779, [130 126]
 6, 1, Novel, 16.254917, 68614.822167, 0.000237,, [1 164]
