
Group Lesion
Experiment:, list12, 

Stim Condition:, 1, 
 Stim Pair 1:,Sample: , [ 0.333 0.333, 0.667 0.950, 0.050 0.950, 0.667 0.333 ],Novel: , [ 0.950 0.050, 0.050 0.050, 0.333 0.950, 0.050 0.333 ] Stim Pair 2:,Sample: , [ 0.333 0.950, 0.667 0.950, 0.333 0.050, 0.333 0.333 ],Novel: , [ 0.050 0.050, 0.050 0.333, 0.950 0.950, 0.667 0.050 ] Stim Pair 3:,Sample: , [ 0.667 0.333, 0.667 0.950, 0.333 0.667, 0.333 0.950 ],Novel: , [ 0.333 0.050, 0.950 0.333, 0.050 0.667, 0.333 0.333 ] Stim Pair 4:,Sample: , [ 0.950 0.950, 0.667 0.333, 0.050 0.950, 0.667 0.950 ],Novel: , [ 0.050 0.333, 0.333 0.667, 0.950 0.667, 0.333 0.050 ] Stim Pair 5:,Sample: , [ 0.667 0.333, 0.950 0.667, 0.050 0.950, 0.667 0.950 ],Novel: , [ 0.333 0.950, 0.333 0.333, 0.050 0.050, 0.667 0.050 ] Stim Pair 6:,Sample: , [ 0.050 0.667, 0.050 0.050, 0.667 0.667, 0.050 0.950 ],Novel: , [ 0.667 0.950, 0.950 0.050, 0.950 0.667, 0.950 0.950 ] Stim Pair 7:,Sample: , [ 0.667 0.050, 0.950 0.050, 0.050 0.667, 0.333 0.050 ],Novel: , [ 0.333 0.333, 0.050 0.950, 0.667 0.333, 0.950 0.333 ] Stim Pair 8:,Sample: , [ 0.950 0.050, 0.333 0.950, 0.333 0.050, 0.950 0.667 ],Novel: , [ 0.667 0.950, 0.333 0.333, 0.050 0.050, 0.050 0.333 ] Stim Pair 9:,Sample: , [ 0.333 0.667, 0.333 0.333, 0.667 0.667, 0.050 0.050 ],Novel: , [ 0.333 0.950, 0.667 0.050, 0.050 0.667, 0.050 0.950 ] Stim Pair 10:,Sample: , [ 0.333 0.667, 0.050 0.333, 0.333 0.950, 0.333 0.050 ],Novel: , [ 0.950 0.050, 0.667 0.667, 0.667 0.950, 0.950 0.667 ] Stim Pair 11:,Sample: , [ 0.667 0.333, 0.950 0.050, 0.333 0.950, 0.950 0.667 ],Novel: , [ 0.050 0.950, 0.050 0.667, 0.333 0.667, 0.050 0.333 ] Stim Pair 12:,Sample: , [ 0.333 0.667, 0.333 0.333, 0.950 0.950, 0.950 0.667 ],Novel: , [ 0.667 0.050, 0.667 0.333, 0.333 0.050, 0.950 0.333 ] 

Stim Pair, Stimulus, Peak Act seg1, Peak Act seg2, Peak Act seg3, Peak Act seg4, Mean Peak Act, Total Act seg1, Total Act seg2, Total Act seg3, Total Act seg4, Mean Total Act, Selectivity, Win Co-ords 1, Win Co-ords 2, Win Co-ords 3, Win Co-ords 4
 1, Sample, 79.871970, 82.893063, 82.893063, 80.317435, 81.493883, 109795.735083, 77400.560335, 58774.853518, 111994.164296, 89491.328308, 0.000981, 0.000129, [183 4], [132 18], [158 92], [88 43]
 1, Novel, 75.130308, 76.749972, 82.893063, 19.912919, 63.671566, 58346.677532, 58611.458399, 77462.797655, 77275.842631, 67924.194054, 0.000981, , [194 138], [109 141], [190 25], [90 151]
 2, Sample, 78.918467, 82.893063, 82.893063, 81.993427, 81.674505, 76358.738129, 77400.560335, 77474.632617, 111937.647119, 85792.894550, 0.000977, 0.157348, [33 144], [132 18], [6 107], [102 121]
 2, Novel, 18.246184, 77.440228, 75.679298, 18.435432, 47.450286, 58165.915254, 77308.229662, 58630.985707, 77326.692667, 67857.955822, 0.000711, , [163 192], [42 190], [93 170], [43 192]
 3, Sample, 82.893063, 82.893063, 81.443331, 78.454630, 81.421022, 109984.701538, 77400.560335, 111979.576116, 77536.708395, 94225.386596, 0.000891, 0.208612, [185 37], [132 18], [40 70], [41 71]
 3, Novel, 26.577850, 20.609168, 76.531843, 81.993427, 51.428072, 76680.823218, 77345.089249, 77462.782286, 111937.647119, 85856.585468, 0.000583, , [82 89], [102 3], [2 29], [102 121]
 4, Sample, 77.385411, 80.346335, 82.893063, 82.893063, 80.879468, 58022.209170, 111701.496164, 58774.853518, 77574.460499, 76518.254838, 0.001133, 0.414812, [41 62], [136 165], [158 92], [34 163]
 4, Novel, 21.030125, 27.033373, 22.142165, 82.893063, 38.274682, 76501.668445, 111559.620361, 77321.001410, 77406.069928, 85697.090036, 0.000469, , [37 135], [171 18], [102 199], [108 37]
 5, Sample, 82.893063, 76.207020, 82.893063, 82.893063, 81.221552, 109984.701538, 77413.162150, 58774.853518, 77574.460499, 80936.794426, 0.001054, 0.298926, [185 37], [59 16], [158 92], [34 163]
 5, Novel, 78.918467, 82.893063, 15.334727, 18.435432, 48.895422, 76358.738129, 111643.000794, 58608.450601, 77326.692667, 80984.220547, 0.000569, , [33 144], [126 97], [55 178], [43 192]
 6, Sample, 78.671171, 76.749972, 82.893063, 76.047496, 78.590426, 76451.064035, 58611.458399, 111886.821546, 58711.983335, 76415.331829, 0.001094, 0.323242, [120 112], [109 141], [16 128], [55 139]
 6, Novel, 22.228290, 82.893063, 22.142165, 14.513277, 35.444199, 76299.198813, 58687.835156, 77321.001410, 58704.818642, 67753.213505, 0.000559, , [170 131], [42 122], [102 199], [83 15]
 7, Sample, 78.107991, 82.893063, 76.531843, 82.893063, 80.106490, 76829.494013, 58687.835156, 77462.782286, 77406.069928, 72596.545346, 0.001122, 0.492333, [175 35], [42 122], [2 29], [108 37]
 7, Novel, 79.871970, 14.913504, 30.737941, 20.870112, 36.598382, 109795.735083, 58523.729420, 111906.208916, 77364.911321, 89397.646185, 0.000382, , [183 4], [129 113], [47 191], [43 96]
 8, Sample, 75.130308, 77.222167, 82.893063, 82.893063, 79.534651, 58346.677532, 77290.933576, 77474.632617, 77545.133202, 72664.344232, 0.001106, 0.480450, [194 138], [115 78], [6 107], [180 10]
 8, Novel, 22.228290, 82.893063, 15.334727, 19.912919, 35.092250, 76299.198813, 111643.000794, 58608.450601, 77275.842631, 80956.623210, 0.000388, , [170 131], [126 97], [55 178], [90 151]
 9, Sample, 82.893063, 82.893063, 82.893063, 76.572214, 81.312851, 109544.596105, 111643.000794, 111886.821546, 58620.388768, 97923.701803, 0.000887, -0.004727, [169 149], [126 97], [16 128], [134 143]
 9, Novel, 78.918467, 20.341002, 76.531843, 76.047496, 62.959702, 76358.738129, 77281.220940, 77462.782286, 58711.983335, 72453.681172, 0.000895, , [33 144], [39 154], [2 29], [55 139]
 10, Sample, 82.893063, 77.440228, 82.893063, 82.893063, 81.529855, 109544.596105, 77308.229662, 77462.797655, 77406.069928, 85430.423337, 0.000975, 0.148167, [169 149], [42 190], [190 25], [108 37]
 10, Novel, 75.130308, 30.597044, 20.292896, 82.893063, 52.228328, 58346.677532, 111703.791228, 77317.043820, 77545.133202, 81228.161446, 0.000723, , [194 138], [138 144], [60 184], [180 10]
 11, Sample, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 109984.701538, 58687.835156, 77462.797655, 77545.133202, 80920.116888, 0.001076, 0.480059, [185 37], [42 122], [190 25], [180 10]
 11, Novel, 15.680897, 19.836416, 81.443331, 19.912919, 34.218391, 57955.273254, 77232.842878, 111979.576116, 77275.842631, 81110.883720, 0.000378, , [63 66], [158 96], [40 70], [90 151]
 12, Sample, 82.893063, 82.893063, 75.679298, 82.893063, 81.089622, 109544.596105, 111643.000794, 58630.985707, 77545.133202, 89340.928952, 0.000965, 0.112955, [169 149], [126 97], [93 170], [180 10]
