
Group Lesion
Experiment:, list6, 

Stim Condition:, 1, 
 Stim Pair 1:,Sample: , [ 0.050 0.333, 0.667 0.950, 0.950 0.333, 0.050 0.667 ],Novel: , [ 0.050 0.950, 0.333 0.050, 0.333 0.333, 0.333 0.950 ] Stim Pair 2:,Sample: , [ 0.950 0.333, 0.333 0.667, 0.050 0.050, 0.950 0.050 ],Novel: , [ 0.667 0.050, 0.050 0.333, 0.667 0.333, 0.950 0.667 ] Stim Pair 3:,Sample: , [ 0.950 0.950, 0.667 0.050, 0.950 0.333, 0.667 0.333 ],Novel: , [ 0.950 0.050, 0.950 0.667, 0.667 0.950, 0.333 0.333 ] Stim Pair 4:,Sample: , [ 0.050 0.050, 0.950 0.950, 0.050 0.333, 0.050 0.950 ],Novel: , [ 0.333 0.667, 0.667 0.667, 0.667 0.950, 0.950 0.050 ] Stim Pair 5:,Sample: , [ 0.333 0.333, 0.950 0.050, 0.333 0.950, 0.333 0.050 ],Novel: , [ 0.667 0.333, 0.950 0.333, 0.950 0.667, 0.050 0.950 ] Stim Pair 6:,Sample: , [ 0.667 0.050, 0.050 0.950, 0.050 0.333, 0.333 0.333 ],Novel: , [ 0.050 0.667, 0.950 0.333, 0.667 0.333, 0.050 0.050 ] 

Stim Pair, Stimulus, Peak Act seg1, Peak Act seg2, Peak Act seg3, Peak Act seg4, Mean Peak Act, Total Act seg1, Total Act seg2, Total Act seg3, Total Act seg4, Mean Total Act, Selectivity, Win Co-ords 1, Win Co-ords 2, Win Co-ords 3, Win Co-ords 4
 1, Sample, 77.432079, 68.070743, 82.893063, 79.434565, 76.957612, 76360.449657, 77350.272526, 77305.372674, 77407.896621, 77105.997869, 0.000998, 0.537235, [186 136], [142 147], [140 196], [95 116]
 1, Novel, 14.866332, 23.340517, 30.220790, 28.859371, 24.321753, 57850.569334, 77279.971856, 112013.651674, 77350.325573, 81123.629609, 0.000300, , [150 38], [196 34], [98 34], [40 178]
 2, Sample, 78.096485, 81.190506, 77.596916, 76.742357, 78.406566, 76773.815441, 111697.351888, 58794.056545, 58778.544610, 76510.942121, 0.001092, 0.418705, [42 86], [51 115], [112 189], [137 184]
 2, Novel, 77.483406, 19.076622, 29.600415, 20.716724, 36.719292, 76658.710697, 77205.490197, 111801.354271, 77372.921077, 85759.619060, 0.000448, , [155 10], [75 184], [37 198], [90 19]
 3, Sample, 77.401412, 77.334071, 82.893063, 80.925260, 79.638452, 58231.690238, 77396.554196, 77305.372674, 112169.430704, 81275.761953, 0.001031, 0.429757, [172 143], [144 117], [140 196], [87 86]
 3, Novel, 15.095792, 29.042132, 22.523056, 80.393469, 36.763612, 58253.556163, 77324.467658, 77257.835017, 111998.567798, 81208.606659, 0.000411, , [31 83], [33 161], [168 141], [58 66]
 4, Sample, 77.064177, 76.692061, 82.893063, 74.718309, 77.841903, 58068.056365, 58657.991552, 77599.587972, 58660.999237, 63246.658782, 0.001244, 0.398765, [5 55], [34 159], [117 191], [39 180]
 4, Novel, 28.933495, 30.971905, 22.523056, 76.742357, 39.792703, 109293.549552, 111733.954904, 77257.835017, 58778.544610, 89265.971021, 0.000535, , [177 132], [130 154], [168 141], [137 184]
 5, Sample, 81.475258, 76.695493, 77.266371, 76.999574, 78.109174, 109538.063609, 58662.254656, 77462.777742, 77453.773270, 80779.217319, 0.001011, 0.310489, [104 2], [136 147], [197 23], [43 81]
 5, Novel, 28.660349, 25.756816, 20.005397, 74.718309, 37.285218, 109802.994406, 77319.397823, 77166.195782, 58660.999237, 80737.396812, 0.000532, , [150 23], [139 147], [190 142], [39 180]
 6, Sample, 77.483406, 76.696888, 82.893063, 80.393469, 79.366707, 76658.710697, 58617.386761, 77599.587972, 111998.567798, 81218.563307, 0.001026, 0.549250, [155 10], [61 19], [117 191], [58 66]
 6, Novel, 18.559429, 25.756816, 29.600415, 20.678515, 23.648794, 76177.268937, 77319.397823, 111801.354271, 58598.563454, 80974.146121, 0.000299, , [185 37], [139 147], [37 198], [99 148]
