
Group Lesion
Experiment:, list12, 
Stim Pair 1:,Sample: , [ 0.950 0.667, 0.667 0.950, 0.050 0.667, 0.050 0.050 ],Novel: , [ 0.950 0.050, 0.050 0.950, 0.333 0.050, 0.667 0.667 ] Stim Pair 2:,Sample: , [ 0.333 0.050, 0.333 0.950, 0.050 0.333, 0.950 0.950 ],Novel: , [ 0.667 0.333, 0.333 0.667, 0.667 0.050, 0.333 0.333 ] Stim Pair 3:,Sample: , [ 0.333 0.667, 0.667 0.950, 0.667 0.333, 0.950 0.050 ],Novel: , [ 0.667 0.050, 0.667 0.667, 0.050 0.950, 0.333 0.950 ] Stim Pair 4:,Sample: , [ 0.950 0.050, 0.050 0.050, 0.667 0.333, 0.050 0.333 ],Novel: , [ 0.333 0.050, 0.667 0.667, 0.333 0.950, 0.667 0.333 ] Stim Pair 5:,Sample: , [ 0.333 0.667, 0.333 0.050, 0.950 0.333, 0.050 0.050 ],Novel: , [ 0.950 0.050, 0.950 0.950, 0.667 0.950, 0.050 0.333 ] Stim Pair 6:,Sample: , [ 0.333 0.950, 0.667 0.050, 0.050 0.950, 0.667 0.667 ],Novel: , [ 0.333 0.333, 0.950 0.950, 0.667 0.950, 0.333 0.667 ] Stim Pair 7:,Sample: , [ 0.050 0.333, 0.333 0.667, 0.667 0.950, 0.950 0.050 ],Novel: , [ 0.050 0.667, 0.333 0.950, 0.050 0.050, 0.667 0.667 ] Stim Pair 8:,Sample: , [ 0.950 0.950, 0.333 0.050, 0.333 0.333, 0.050 0.950 ],Novel: , [ 0.667 0.333, 0.333 0.667, 0.950 0.050, 0.667 0.950 ] Stim Pair 9:,Sample: , [ 0.333 0.950, 0.050 0.950, 0.050 0.050, 0.950 0.667 ],Novel: , [ 0.333 0.333, 0.050 0.667, 0.950 0.950, 0.667 0.050 ] Stim Pair 10:,Sample: , [ 0.050 0.333, 0.667 0.050, 0.950 0.333, 0.667 0.667 ],Novel: , [ 0.950 0.050, 0.667 0.333, 0.050 0.950, 0.667 0.950 ] Stim Pair 11:,Sample: , [ 0.667 0.333, 0.667 0.050, 0.950 0.333, 0.667 0.667 ],Novel: , [ 0.950 0.050, 0.667 0.333, 0.050 0.950, 0.667 0.950 ] Stim Pair 12:,Sample: , [ 0.950 0.950, 0.050 0.950, 0.667 0.333, 0.050 0.667 ],Novel: , [ 0.050 0.050, 0.333 0.950, 0.667 0.050, 0.333 0.050 ] 

Stim Pair, Stimulus, Peak Act seg1, Peak Act seg2, Peak Act seg3, Peak Act seg4, Mean Peak Act, Total Act seg1, Total Act seg2, Total Act seg3, Total Act seg4, Mean Total Act, Selectivity, Win Co-ords 1, Win Co-ords 2, Win Co-ords 3, Win Co-ords 4
 1, Sample, 76.964263, 82.893063, 78.451859, 82.893063, 80.300562, 76548.518026, 77380.802980, 77576.786126, 58640.179832, 72536.571741, 0.001125, 0.095651, [28 49], [124 68], [46 196], [199 126]
 1, Novel, 76.281021, 82.893063, 19.492775, 82.893063, 65.389981, 58187.618116, 58642.749475, 77354.038821, 112155.708758, 76585.028792, 0.000929, , [42 107], [160 93], [150 118], [167 160]
 2, Sample, 78.397630, 78.694305, 78.534510, 76.400842, 78.006822, 76604.068982, 77344.382526, 77538.049645, 58796.799966, 72570.825280, 0.001088, 0.373358, [15 79], [163 166], [5 13], [70 197]
 2, Novel, 80.466494, 81.677499, 18.691902, 31.184869, 53.005191, 109687.651872, 111619.603154, 77281.389346, 111753.881560, 102585.631483, 0.000497, , [90 169], [13 170], [21 24], [24 45]
 3, Sample, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 109648.546311, 77380.802980, 111940.842733, 58641.389716, 89402.895435, 0.000995, 0.294984, [171 23], [124 68], [187 101], [121 142]
 3, Novel, 19.858945, 29.040244, 76.050489, 27.472429, 38.105527, 76564.246290, 111648.199331, 58792.501532, 77502.082903, 81126.757514, 0.000542, , [82 159], [109 7], [48 59], [48 61]
 4, Sample, 76.281021, 75.096102, 82.893063, 78.518885, 78.197268, 58187.618116, 58556.859949, 111940.842733, 77390.689162, 76519.002490, 0.001087, 0.413953, [42 107], [142 167], [187 101], [5 17]
 4, Novel, 78.397630, 29.040244, 21.034319, 27.644961, 39.029289, 76604.068982, 111648.199331, 77456.231562, 111808.671488, 94379.292841, 0.000451, , [15 79], [109 7], [13 45], [9 113]
 5, Sample, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 109648.546311, 77295.147131, 77441.354143, 58640.179832, 80756.306854, 0.001078, 0.078649, [171 23], [144 95], [179 103], [199 126]
 5, Novel, 76.281021, 21.139391, 77.229638, 78.518885, 63.292234, 58187.618116, 58587.209191, 77447.983034, 77390.689162, 67903.374875, 0.000921, , [42 107], [35 80], [95 132], [5 17]
 6, Sample, 82.893063, 82.893063, 76.050489, 82.893063, 81.182420, 76539.583642, 77359.170148, 58792.501532, 112155.708758, 81211.741020, 0.001047, 0.370596, [196 103], [151 60], [48 59], [167 160]
 6, Novel, 31.997366, 21.139391, 77.229638, 30.590632, 40.239257, 109664.293116, 58587.209191, 77447.983034, 112031.147097, 89432.658110, 0.000481, , [180 9], [35 80], [95 132], [158 126]
 7, Sample, 82.893063, 81.677499, 77.229638, 82.893063, 81.173316, 76526.042916, 111619.603154, 77447.983034, 58641.389716, 81058.754705, 0.001056, 0.122097, [75 199], [13 170], [95 132], [121 142]
 7, Novel, 19.230063, 78.694305, 76.215696, 82.893063, 64.258282, 76398.838440, 77344.382526, 58725.212109, 112155.708758, 81156.035458, 0.000827, , [183 118], [163 166], [199 127], [167 160]
 8, Sample, 82.893063, 82.893063, 80.309519, 77.294782, 80.847607, 58202.580034, 77295.147131, 111991.987108, 58779.313537, 76567.256953, 0.001132, 0.369998, [143 74], [144 95], [112 31], [53 58]
 8, Novel, 80.466494, 81.677499, 14.945975, 28.056054, 51.286505, 109687.651872, 111619.603154, 58548.626852, 77514.181362, 89342.515810, 0.000521, , [90 169], [13 170], [115 71], [71 199]
