
Group Lesion
Experiment:, list12, 

Stim Condition:, 1, 
 Stim Pair 1:,Sample: , [ 0.333 0.333, 0.667 0.950, 0.050 0.950, 0.667 0.333 ],Novel: , [ 0.950 0.050, 0.050 0.050, 0.333 0.950, 0.050 0.333 ] Stim Pair 2:,Sample: , [ 0.333 0.950, 0.667 0.950, 0.333 0.050, 0.333 0.333 ],Novel: , [ 0.050 0.050, 0.050 0.333, 0.950 0.950, 0.667 0.050 ] Stim Pair 3:,Sample: , [ 0.667 0.333, 0.667 0.950, 0.333 0.667, 0.333 0.950 ],Novel: , [ 0.333 0.050, 0.950 0.333, 0.050 0.667, 0.333 0.333 ] Stim Pair 4:,Sample: , [ 0.950 0.950, 0.667 0.333, 0.050 0.950, 0.667 0.950 ],Novel: , [ 0.050 0.333, 0.333 0.667, 0.950 0.667, 0.333 0.050 ] Stim Pair 5:,Sample: , [ 0.667 0.333, 0.950 0.667, 0.050 0.950, 0.667 0.950 ],Novel: , [ 0.333 0.950, 0.333 0.333, 0.050 0.050, 0.667 0.050 ] Stim Pair 6:,Sample: , [ 0.050 0.667, 0.050 0.050, 0.667 0.667, 0.050 0.950 ],Novel: , [ 0.667 0.950, 0.950 0.050, 0.950 0.667, 0.950 0.950 ] Stim Pair 7:,Sample: , [ 0.667 0.050, 0.950 0.050, 0.050 0.667, 0.333 0.050 ],Novel: , [ 0.333 0.333, 0.050 0.950, 0.667 0.333, 0.950 0.333 ] Stim Pair 8:,Sample: , [ 0.950 0.050, 0.333 0.950, 0.333 0.050, 0.950 0.667 ],Novel: , [ 0.667 0.950, 0.333 0.333, 0.050 0.050, 0.050 0.333 ] Stim Pair 9:,Sample: , [ 0.333 0.667, 0.333 0.333, 0.667 0.667, 0.050 0.050 ],Novel: , [ 0.333 0.950, 0.667 0.050, 0.050 0.667, 0.050 0.950 ] Stim Pair 10:,Sample: , [ 0.333 0.667, 0.050 0.333, 0.333 0.950, 0.333 0.050 ],Novel: , [ 0.950 0.050, 0.667 0.667, 0.667 0.950, 0.950 0.667 ] Stim Pair 11:,Sample: , [ 0.667 0.333, 0.950 0.050, 0.333 0.950, 0.950 0.667 ],Novel: , [ 0.050 0.950, 0.050 0.667, 0.333 0.667, 0.050 0.333 ] Stim Pair 12:,Sample: , [ 0.333 0.667, 0.333 0.333, 0.950 0.950, 0.950 0.667 ],Novel: , [ 0.667 0.050, 0.667 0.333, 0.333 0.050, 0.950 0.333 ] 

Stim Pair, Stimulus, Peak Act seg1, Peak Act seg2, Peak Act seg3, Peak Act seg4, Mean Peak Act, Total Act seg1, Total Act seg2, Total Act seg3, Total Act seg4, Mean Total Act, Selectivity, Win Co-ords 1, Win Co-ords 2, Win Co-ords 3, Win Co-ords 4
 1, Sample, 80.937340, 82.893063, 82.893063, 80.613918, 81.834346, 109770.632313, 77395.554718, 58940.772545, 111923.563572, 89507.630787, 0.000984, -0.003444, [180 9], [124 68], [48 59], [9 113]
 1, Novel, 76.281021, 75.096102, 82.893063, 23.378371, 64.412139, 58226.512157, 58549.269817, 77676.474274, 77321.434591, 67943.422710, 0.000991, , [42 107], [142 167], [13 45], [5 17]
 2, Sample, 38.372457, 82.893063, 82.893063, 81.286162, 71.361186, 76464.293486, 77395.554718, 77345.417136, 111886.819160, 85773.021125, 0.000843, 0.082684, [196 101], [124 68], [150 118], [24 45]
 2, Novel, 15.463104, 76.594320, 75.522452, 24.116929, 47.924201, 58097.361054, 77220.806082, 58724.529963, 77271.509999, 67828.551775, 0.000714, , [134 179], [68 90], [189 22], [152 117]
 3, Sample, 82.893063, 82.893063, 80.469919, 80.110789, 81.591709, 109785.808672, 77395.554718, 112131.207347, 77607.733598, 94230.076084, 0.000894, 0.222248, [90 169], [124 68], [28 71], [48 61]
 3, Novel, 21.607798, 19.807911, 78.451859, 81.286162, 50.288432, 76574.154784, 77385.504153, 77610.127948, 111886.819160, 85864.151511, 0.000569, , [15 79], [198 21], [46 196], [24 45]
 4, Sample, 76.090024, 81.115519, 82.893063, 82.893063, 80.747917, 58115.889131, 111732.783710, 58940.772545, 77622.585722, 76603.007777, 0.001127, 0.416114, [143 74], [163 56], [48 59], [9 67]
 4, Novel, 21.308558, 28.413222, 19.708335, 82.893063, 38.080795, 76457.230478, 111488.474990, 77360.782721, 77394.742434, 85675.307656, 0.000465, , [75 199], [13 170], [199 139], [79 113]
 5, Sample, 82.893063, 79.790688, 82.893063, 82.893063, 82.117470, 109785.808672, 77444.036310, 58940.772545, 77622.585722, 80948.300812, 0.001065, 0.396300, [90 169], [33 81], [48 59], [9 67]
 5, Novel, 38.372457, 82.893063, 16.672596, 24.116929, 40.513761, 76464.293486, 111549.410426, 58576.192843, 77271.509999, 80965.351689, 0.000460, , [196 101], [11 3], [199 127], [152 117]
 6, Sample, 77.795772, 75.096102, 82.893063, 77.297492, 78.270607, 76498.621538, 58549.269817, 112048.284595, 58782.606858, 76469.695702, 0.001089, 0.335089, [183 118], [142 167], [152 100], [53 58]
 6, Novel, 18.316658, 82.893063, 19.708335, 15.433390, 34.087862, 76453.557971, 58726.544859, 77360.782721, 58741.438070, 67820.580905, 0.000542, , [5 127], [83 112], [199 139], [70 197]
 7, Sample, 78.023921, 82.893063, 78.451859, 82.893063, 80.565477, 76684.245973, 58726.544859, 77610.127948, 77394.742434, 72603.915304, 0.001128, 0.496659, [82 159], [83 112], [46 196], [79 113]
